Card Name,Cost,Rarity,Description,Type,ImageID
Black Pendant,0,Super Rare,A Monster equipped with this card increases its ATK by 500 points. When this card is sent from the field to the Graveyard inflict 500 points of Direct Damage to your opponents Life Points.,Spell,
Horn of Light,0,Common,A Monster equipped with this card increases its DEF by 800 points. When this card is sent from the field to the Graveyard you can pay 500 Life Points to place it on top of your Deck.,Spell,
Malevolent Nuzzler,0,Common,A Monster equipped with this card increases its ATK by 700 points. When this card is sent from the field to the Graveyard you can pay 500 Life Points to place it on top of your Deck.,Spell,
Spellbinding Circle,0,Ultra Rare,"Select 1 Monster. As long as this card remains face-up on the field the selected Monster cannot attack of change its battle position except by the effect of a Magic Trap or Effect Monster Card. When the selected Monster is destroyed, this card is destroyed as well.",Trap,
Metal Fish,0,Common,A metal fish with a razor-sharp caudal fin.,Monster,
Electric Snake,0,Common,When this card is sent directly from your hand to the Graveyard by your opponents card effect you can draw 2 cards from your Deck.,Monster,
Queen Bird,0,Common,This Monster attacks enemies using its huge beak.,Monster,
Ameba,0,Rare,When this card is face-up on the field and control shifts to your opponent inflict 2000 points of Direct Damage to your opponents Life Points. This effect can only be used once as long as this card remains face-up on the field.,Monster,
Peacock,0,Common,A large peacock that launches its feathers in a lethal attack.,Monster,
Maha Vailo,0,Super Rare, In addition to the effects of Equip Cards the ATK of this Monster is increased by 500 points for each card equipped to this Monster.,Monster,
Guardian of the Throne Room,0,Common,A robot guard built to protect throne rooms it is armed with homing missiles. ,Monster,
Fire Kraken,0,Common,A squid that thrives on fire and heat.,Monster,
Minar,0,Common,When this card is sent directly from your hand to the Graveyard by your opponents card effect inflict 1000 points of Direct Damage to your opponents Life Points.,Monster,
Griggle,0,Common,When this card is face-up on the field and control shifts to your opponent you gain 3000 Life Points. This effect can only be used once as long as this card remains face-up on the field.,Monster,
Tyhone #2,0,Common, A crimson dragon that spits fireballs to create a blazing sea of fire.,Monster,
Ancient One of the Deep Forest,0,Common,his creature adopts the form of a white goat living in the forest but is actually a Forest Elder.,Monster,
Dark Witch,0,Common,A popular creature in mythology that delivers fatal attacks with a sharp spear.,Monster,
Weather Report,0,Common,FLIP: Destroys all opponents face-up Swords of Revealing Light on the field. If Swords of Revealing Light is destroyed you can perform your Battle Phase twice this turn (or next turn if it was activated during your opponents turn),Monster,
Mechanical Snail,0,Common,A cyborg snail that travels at a slow pace,Monster,
Giant Turtle Who Feeds On Flames,0,Common, A crimson-shelled tortoise that feeds on flames.,Monster,
Liquid Beast,0,Common,A liquid life form that thrives on wate,Monster,
Hiros Shadow Scout,0,Rare, FLIP: Your opponent draws 3 cards. Both players check the cards and any Magic Cards among them must be immediately discarded to the Graveyard.,Monster,
High Tide Gyojin,0,Common,A very agile half-fish warrior known for its relentless attacks.,Monster,
Invader of the Throne,0,Super Rare,FLIP: Select 1 opponents Monster and switch control of it with this card. This effect cannot be activated during the Battle Phase.,Monster,
Whiptail Crow,0,Common,Attacks from the skies with a whip-like tail.,Monster,
Slot Machine,0,Common,The machines ability is said to vary according to its slot results.,Monster,
Relinquished,0,Ultra Rare,"Select 1 Monster on your opponents side of the field and equip it to this card (this effect can only be used once per turn and you can equip 1 Monster at a time to this card). The ATK and DEF of this card become the same amounts as the Monster equipped to this card. If this card is destroyed as a result of battle, the equipped Monster is destroyed instead, and any battle damage your received from the battle is also inflicted to your opponents Life Points.",Monster,
Red Archery Girl,0,Common, A mermaid archer that hides in a protective shell waiting for the right moment to strike.,Monster,
Gravekeepers Servant,0,Common,Each time your opponent attacks with a Monster the opponent must send 1 card from the top of his/her Deck to the Graveyard.,Spell,
Curse of Fiend,0,Common,Changes the battle position of all Attack Position Monsters on the field to Defense Position and vice-versa. These positions cannot be changed during the turn this card is activated except by the effect of a Magic Trap or Effect Monster Car,Spell,
Upstart Goblin,0,Common,Draw 1 card from your Deck. Your opponent gains 1000 Life Points.,Spell,
Toll,0,Common,As long as this card remains face-up on the field both you and your opponent must pay 500 Life Points per Monster to attack.,Spell,
Final Destiny,0,Common,Discard 5 cards from your hand to destroy all the cards on the field.,Spell,
Snatch Steal,0,Common,Take control of 1 of your opponents face-up Monsters. Your opponent gains 1000 Life Points at each of his/her Standby Phases.,Spell,
Chorus of Sanctuary,0,Common,Increases the DEF of all Defense Position Monsters by 500 points.,Spell,
Confiscation,0,Common,Pay 1000 Life Points to look at your opponents hand. Select one card and discard it to the Graveyard.,Spell,
Delinquent Duo,0,Common,Pay 1000 Life Points. Randomly select and discard 1 card from your opponents hand. Your opponent then selects and discards another card from his/her hand.,Spell,
Darkness Approaches,0,Common,Discard 2 cards from your hand. Select 1 face-up Monster and flip it face-down but do not change its battle position.,Spell,
Fairys Hand Mirror,0,Common,Switch the opponents Magic Card effect that specifically designates 1 Monster as a target to another correctly targeted Monster.,Trap,
Tailor of the Fickle,0,Common,Select 1 equipped Equip Card and switch it to another correct target.,Spell,
Rush Recklessly,0,Rare,Increase 1 Monsters ATK by 700 points during the turn this card is activated.,Spell,
The Reliable Guardian,0,Common,Increases 1 Monsters DEF by 700 points during the turn this card is activated.,Spell,
The Forceful Sentry,0,Ultra Rare,Look at your opponents hand then select a card and return it to his/her Deck. The Deck is then shuffled.,Spell,
Chain Energy,0,Common,As long as this card remains face-up on the field both you and your opponent must pay 500 Life Points per card to play or Set cards from your respective hands.,Spell,
Mystical Space Typhoon,0,Ultra Rare,Destroy 1 Magic or Trap Card on the field.,Spell,
Giant Trunade,0,Super Rare,Returns all Magic and Trap cards on the field to the respective owners hands.,Spell,
Painful Choice,0,Super Rare,Select 5 cards from your Deck and show them to your opponent. Your opponent must select 1 card that will be added to your hand. Discard the remaining cards to the Graveyard.,Spell,
Snake Fang,0,Common,Decrease 1 selected Monsters DEF by 500 points during the turn this card is activated.,Trap,
Black Illusion Ritual,0,Super Rare,This card is used to Ritual Summon Relinquished. You must also offer Monsters whose total Level Stars equal 1 or more as a Tribute from the field or your hand.,Spell,
Octoberser,0,Common,With the head of a fish and the legs of an octopus this strange creature attacks enemies by flinging spears.,Monster,
Psychic Kappa,0,Common,An amphibian with a myriad of powers to shield it from enemy attacks.,Monster,
Horn of the Unicorn,0,Rare,A Monster equipped with this card increases its ATK and DEF by 700 points. When this card is sent from the field to the Graveyard it returns to the top of your Deck.,Spell,
Labyrinth Wall,0,Common,These walls form a labyrinth with no exit for enemies.,Monster,
Wall Shadow,0,Common,You cannot Normal Summon this Monster. This card can only be Special Summoned by offering Labyrinth Wall equipped with Magical Labyrinth as a Tribute. No other Tribute Monsters are required,Monster,
Twin Long Rods #2,0,Common,An amphibious creature with two whip-like tails,Monster,
Stone Ogre Grotto,0,Common,A behemoth shaped by giant boulders.,Monster,
Magical Labyrinth,0,Common,Equip Labyrinth Wall with this card. If you offer Labyrinth Wall equipped with this card as a Tribute you can Special Summon Wall Shadow from your Deck.,Spell,
Eternal Rest,0,Common,Destroys all Monsters equipped with Equip Cards.,Spell,
Megamorph,0,Ultra Rare,If your Life Points are lower than your opponents the original ATK of a Monster equipped with this card is doubled. If your Life Points are higher the original ATK is halved.,Spell,
Commencement Dance,0,Common,This card is used to Ritual Summon Performance of Sword. You must also offer Monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.,Spell,
Hamburger Recipe,0,Common,This card is used to Ritual Summon Hungry Burger. You must also offer Monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.,Spell,
House of Adhesive Tape,0,Common,If the DEF of a Monster summoned by your opponent (excluding Special Summon) is 500 points or less the Monster is destroyed.,Trap,
Eatgaboon,0,Common,If the ATK of a Monster summoned by your opponent (excluding Special Summon) is 500 points or less the Monster is destroyed.,Trap,
Turtle Oath,0,Common,This card is used to Ritual Summon Crab Turtle. You must also offer Monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.,Spell,
Performance of Sword,0,Common,This Monster can only be Ritual Summoned with the Ritual Magic Card Commencement Dance. You must also offer Monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.,Monster,
Hungry Burger,0,Common,This Monster can only be Ritual Summoned with the Ritual Magic Card Hamburger Recipe. You must also offer Monsters whose total Level Stars equal 6 or more as a Tribute from the field or your hand.,Monster,
Crab Turtle,0,Common, This Monster can only be Ritual Summoned with the Ritual Magic Card Turtle Oath. You must also offer Monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand.,Monster,
Ryu-Ran,0,Common,A vicious little dragon sheltered in an egg that looks deceptively harmless.,Monster,
Manga Ryu-Ran,0,Rare,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned while Toon World is on your side of the field. You can Special Summon this Monster from your hand, but Tributes are required for Monsters Level 5 or more. This card cannot attack in the turn that it is summoned. Unless you pay 500 Life Points, this Monster cannot attack. When Toon World on the field is destroyed, this card is also destroyed. If your opponent doesnt control a Toon Monster, this card can attack your opponents Life Points directly. If a face-up Toon Monster is on your opponents side of the field,  you must select the Toon Monster as an attack target.",Monster,
Toon Mermaid,0,Ultra Rare,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned while Toon World is on your side of the field. You can Special Summon this Monster from your hand, but Tributes are required for Monsters Level 5 or more. This card cannot attack in the turn that it is summoned. Unless you pay 500 Life Points, this Monster cannot attack. When Toon World on the field is destroyed, this card is also destroyed. If your opponent doesnt control a Toon Monster, this card can attack your opponents Life Points directly. If a face-up Toon Monster is on your opponents side of the field,  you must select the Toon Monster as an attack target.",Monster,
